run,event_file,tag,step,wall_time,value
errnet_aug_struct_ft_old_composite_score,checkpoints/errnet_aug_struct_ft_old_composite_score/logs/Jun03_13-58-21_bitahub-a19991981350187008354918/events.out.tfevents.1780466301.bitahub-a19991981350187008354918,eval/testdata_postcard/LMSE,60,1780466435.0662084,0.004388982430100441
errnet_aug_struct_ft_old_composite_score,checkpoints/errnet_aug_struct_ft_old_composite_score/logs/Jun03_13-58-21_bitahub-a19991981350187008354918/events.out.tfevents.1780466301.bitahub-a19991981350187008354918,eval/testdata_postcard/LMSE,60,1780466806.2380877,0.004329343792051077
errnet_aug_struct_ft_old_composite_score,checkpoints/errnet_aug_struct_ft_old_composite_score/logs/Jun03_13-58-21_bitahub-a19991981350187008354918/events.out.tfevents.1780466301.bitahub-a19991981350187008354918,eval/testdata_postcard/LMSE,60,1780467148.3062773,0.00439393101260066
errnet_aug_struct_ft_old_composite_score,checkpoints/errnet_aug_struct_ft_old_composite_score/logs/Jun03_13-58-21_bitahub-a19991981350187008354918/events.out.tfevents.1780466301.bitahub-a19991981350187008354918,eval/testdata_postcard/NCC,60,1780466435.0662286,0.9462738633155823
errnet_aug_struct_ft_old_composite_score,checkpoints/errnet_aug_struct_ft_old_composite_score/logs/Jun03_13-58-21_bitahub-a19991981350187008354918/events.out.tfevents.1780466301.bitahub-a19991981350187008354918,eval/testdata_postcard/NCC,60,1780466806.238109,0.9458831548690796
errnet_aug_struct_ft_old_composite_score,checkpoints/errnet_aug_struct_ft_old_composite_score/logs/Jun03_13-58-21_bitahub-a19991981350187008354918/events.out.tfevents.1780466301.bitahub-a19991981350187008354918,eval/testdata_postcard/NCC,60,1780467148.3062994,0.9413593411445618
errnet_aug_struct_ft_old_composite_score,checkpoints/errnet_aug_struct_ft_old_composite_score/logs/Jun03_13-58-21_bitahub-a19991981350187008354918/events.out.tfevents.1780466301.bitahub-a19991981350187008354918,eval/testdata_wild/PSNR,60,1780466463.950608,25.1761417388916
errnet_aug_struct_ft_old_composite_score,checkpoints/errnet_aug_struct_ft_old_composite_score/logs/Jun03_13-58-21_bitahub-a19991981350187008354918/events.out.tfevents.1780466301.bitahub-a19991981350187008354918,eval/testdata_wild/PSNR,60,1780466834.4092336,24.910572052001953
errnet_aug_struct_ft_old_composite_score,checkpoints/errnet_aug_struct_ft_old_composite_score/logs/Jun03_13-58-21_bitahub-a19991981350187008354918/events.out.tfevents.1780466301.bitahub-a19991981350187008354918,eval/testdata_wild/PSNR,60,1780467176.1601927,25.747589111328125
errnet_aug_struct_ft_old_composite_score,checkpoints/errnet_aug_struct_ft_old_composite_score/logs/Jun03_13-58-21_bitahub-a19991981350187008354918/events.out.tfevents.1780466301.bitahub-a19991981350187008354918,eval/testdata_wild/SSIM,60,1780466463.9506576,0.8860812783241272
